['INFO ]2023-06-23 23:23:41,568(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Loading Config file
['INFO ]2023-06-23 23:23:43,716(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-IntializingChromedriver
['INFO ]2023-06-23 23:23:44,916(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on ds
['INFO ]2023-06-23 23:23:45,128(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-checking alert message you are not logged in
['INFO ]2023-06-23 23:23:45,155(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-alert you are not allow to login
['INFO ]2023-06-23 23:23:45,171(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click LinkedList 
['INFO ]2023-06-23 23:23:45,372(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-checking alert message you are not logged in
['INFO ]2023-06-23 23:23:45,394(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-alert you are not allow to login
['INFO ]2023-06-23 23:23:45,412(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click stack
['INFO ]2023-06-23 23:23:45,611(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-checking alert message you are not logged in
['INFO ]2023-06-23 23:23:45,629(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-alert you are not allow to login
['INFO ]2023-06-23 23:23:45,643(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click  queue 
['INFO ]2023-06-23 23:23:45,830(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-checking alert message you are not logged in
['INFO ]2023-06-23 23:23:45,848(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-alert you are not allow to login
['INFO ]2023-06-23 23:23:45,863(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click  Tree 
['INFO ]2023-06-23 23:23:46,053(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-checking alert message you are not logged in
['INFO ]2023-06-23 23:23:46,076(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-alert you are not allow to login
['INFO ]2023-06-23 23:23:46,224(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:46,422(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking array logger in pom Arrays
['INFO ]2023-06-23 23:23:46,423(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:46,426(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:46,567(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:46,718(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking linkedlist logger in pom Linked list
['INFO ]2023-06-23 23:23:46,718(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:46,719(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:46,853(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:46,855(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking stack logger in pom Stack
['INFO ]2023-06-23 23:23:47,028(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:47,031(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:47,164(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:47,336(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking queuelogger in pom Queue
['INFO ]2023-06-23 23:23:47,336(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:47,338(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:47,469(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:47,708(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking tree logger in pom Tree
['INFO ]2023-06-23 23:23:47,709(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:47,712(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:47,846(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on data structure dropdown sd
['INFO ]2023-06-23 23:23:48,010(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Checking graph logger in pom Graph
['INFO ]2023-06-23 23:23:48,010(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-click on each dropdown sd
['INFO ]2023-06-23 23:23:48,011(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-you are not logged in sd
['INFO ]2023-06-23 23:23:48,024(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user is on homepage sd
['INFO ]2023-06-23 23:23:48,157(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user is on signinpage sd
['INFO ]2023-06-23 23:23:48,168(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user is on homepage sd
['INFO ]2023-06-23 23:23:48,470(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Please fill out username field
['INFO ]2023-06-23 23:23:48,716(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Please fill out password  field
['INFO ]2023-06-23 23:23:48,885(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Please fill out password confirmation field
['INFO ]2023-06-23 23:23:49,425(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter username as " $%#* "and Password as " Numy321" Confirm password as" Numy321
['INFO ]2023-06-23 23:23:49,794(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-password_mismatch:The two password fields didn’t match. --- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:49,794(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message from Register click SD: password_mismatch:The two password fields didn’t match. -- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:49,936(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter username as " NumpySDET108Ninja "and Password as " Numy124" Confirm password as" Numpysdet108
['INFO ]2023-06-23 23:23:50,343(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-password_mismatch:The two password fields didn’t match. --- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:50,345(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message from Register click SD: password_mismatch:The two password fields didn’t match. -- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:50,475(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter username as " NumpySDET108Ninja "and Password as " sdet108batch" Confirm password as" 12345abc
['INFO ]2023-06-23 23:23:50,906(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-password_mismatch:The two password fields didn’t match. --- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:50,907(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message from Register click SD: password_mismatch:The two password fields didn’t match. -- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:51,038(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter username as " NumpySDET108Ninja "and Password as " Numy126" Confirm password as" adgn321
['INFO ]2023-06-23 23:23:51,457(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-password_mismatch:The two password fields didn’t match. --- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:51,457(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Message from Register click SD: password_mismatch:The two password fields didn’t match. -- password_mismatch:The two password fields didn’t match.
['INFO ]2023-06-23 23:23:51,584(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user is on login page
['INFO ]2023-06-23 23:23:51,601(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-------User is On Sign in page------
['INFO ]2023-06-23 23:23:51,698(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-----User Clicks on Register Link-----
['INFO ]2023-06-23 23:23:51,828(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-----User redirected to Page----Registration
